Method,Test Accuracy,Test F1
HOG+SVM-RBF,0.15517241379310345,0.12647922627844446
HOG+LogReg,0.14224137931034483,0.13036556548992798
HOG+MLP,0.15086206896551724,0.13100068728948047
SIFT-BoVW+SVM-RBF,0.22844827586206898,0.21465219782786576
